Green (HTML/CSS Color),#008000,120,1,0.5,
Green (Munsell),#00A877,163,1,0.66,
Green (NCS),#009F6B,160,1,0.62,
Green (Pantone),#00AD43,143,1,0.68,
Green (Pigment),#00A550,149,1,0.65,
Green (RYB),#66B032,95,0.72,0.69,
Green-Blue,#1164B4,209,0.91,0.71,
Green-Cyan,#009966,160,1,0.6,
Green-Yellow,#ADFF2F,84,0.82,1,
Grizzly,#885818,34,0.82,0.53,
Grullo,#A99A86,34,0.21,0.66,
Guppie Green,#00FF7F,150,1,1,
Gunmetal,#2a3439,200,0.15,0.19,
Halay� �be,#663854,323,0.45,0.4,
Han Blue,#446CCF,223,0.67,0.81,
Han Purple,#5218FA,255,0.9,0.98,
Hansa Yellow,#E9D66B,51,0.54,0.91,
Harlequin,#3FFF00,105,1,1,
Harlequin Green,#46CB18,105,0.88,0.8,
Harvard Crimson,#C90016,353,1,0.79,
Harvest Gold,#DA9100,40,1,0.85,
Heart Gold,#808000,60,1,0.5,
Heliotrope,#DF73FF,286,0.55,1,
Heliotrope Gray,#AA98A9,303,0.11,0.67,
Heliotrope Magenta,#AA00BB,295,1,0.73,
Hollywood Cerise,#F400A1,320,1,0.96,
Honeydew,#F0FFF0,120,0.06,1,
Honolulu Blue,#006DB0,203,1,0.69,
Hooker's Green,#49796B,163,0.4,0.47,
Hot Magenta,#FF1DCE,313,0.89,1,
Hot Pink,#FF69B4,330,0.59,1,
Hunter Green,#355E3B,129,0.44,0.37,
Iceberg,#71A6D2,207,0.46,0.82,
Icterine,#FCF75E,58,0.63,0.99,
Illuminating Emerald,#319177,164,0.66,0.57,
Imperial,#602F6B,289,0.56,0.42,
Imperial Blue,#002395,226,1,0.58,
Imperial Purple,#66023C,325,0.98,0.4,
Imperial Red,#ED2939,355,0.83,0.93,
Inchworm,#B2EC5D,84,0.61,0.93,
Independence,#4C516D,231,0.3,0.43,
India Green,#138808,115,0.94,0.53,
Indian Red,#CD5C5C,0,0.55,0.8,
Indian Yellow,#E3A857,35,0.62,0.89,
Indigo,#4B0082,266,1,1,
Indigo Dye,#091F92,230,0.94,0.57,
Indigo (Web),#4B0082,275,1,0.51,
International Klein Blue,#002FA7,223,1,0.65,
International Orange (Aerospace),#FF4F00,19,1,1,
International Orange (Engineering),#BA160C,3,0.94,0.73,
International Orange (Golden Gate Bridge),#C0362C,4,0.77,0.75,
Iris,#5A4FCF,245,0.62,0.81,
Irresistible,#B3446C,338,0.62,0.7,
Isabelline,#F4F0EC,30,0.03,0.96,
Islamic Green,#009000,120,1,0.56,
Italian Sky Blue,#B2FFFF,180,0.3,1,
Ivory,#FFFFF0,60,0.06,1,
Jade,#00A86B,158,1,0.66,
Japanese Carmine,#9D2933,355,0.74,0.62,
Japanese Indigo,#264348,189,0.47,0.28,
Japanese Violet,#5B3256,307,0.45,0.36,
Jasmine,#F8DE7E,47,0.49,0.97,
Jasper,#D73B3E,359,0.73,0.84,
Jazzberry Jam,#A50B5E,328,0.93,0.65,
Jelly Bean,#DA614E,8,0.64,0.85,
Jet,#343434,�,0,0.2,
Jonquil,#F4CA16,49,0.91,0.96,
Jordy Blue,#8AB9F1,213,0.43,0.95,
June Bud,#BDDA57,73,0.6,0.85,
Jungle Green,#29AB87,163,0.76,0.67,
Kelly Green,#4CBB17,101,0.88,0.73,
Kenyan Copper,#7C1C05,12,0.96,0.49,
Keppel,#3AB09E,171,0.67,0.69,
Khaki (HTML/CSS) (Khaki),#C3B091,37,0.26,0.76,
Khaki (X11) (Light Khaki),#F0E68C,54,0.42,0.94,
Kobe,#882D17,12,0.83,0.53,
Kobi,#E79FC4,329,0.31,0.91,
Kobicha,#6B4423,28,0.67,0.42,
Kombu Green,#354230,103,0.27,0.26,
KU Crimson,#E8000D,357,1,0.91,
La Salle Green,#087830,141,0.93,0.47,
Languid Lavender,#D6CADD,278,0.09,0.87,
Lapis Lazuli,#26619C,210,0.76,0.61,
Laser Lemon,#FFFF66,60,0.6,1,
Laurel Green,#A9BA9D,95,0.16,0.73,
Lava,#CF1020,355,0.92,0.81,
Lavender (Floral),#B57EDC,275,0.43,0.86,
Lavender (Web),#E6E6FA,240,0.08,0.98,
Lavender Blue,#CCCCFF,240,0.2,1,
Lavender Blush,#FFF0F5,340,0.06,1,
Lavender Gray,#C4C3D0,245,0.06,0.82,
Lavender Indigo,#9457EB,265,0.63,0.92,
Lavender Magenta,#EE82EE,300,0.45,0.93,
Lavender Mist,#E6E6FA,240,0.08,0.98,
Lavender Pink,#FBAED2,332,0.31,0.98,
Lavender Purple,#967BB6,267,0.32,0.71,
Lavender Rose,#FBA0E3,316,0.36,0.98,
Lawn Green,#7CFC00,90,1,0.99,
Lemon,#FFF700,58,1,1,
Lemon Chiffon,#FFFACD,54,0.2,1,
Lemon Curry,#CCA01D,45,0.86,0.8,
Lemon Glacier,#FDFF00,60,1,1,
Lemon Lime,#E3FF00,67,1,1,
Lemon Meringue,#F6EABE,47,0.23,0.96,
Lemon Yellow,#FFF44F,56,0.69,1,
Lenurple,#BA93D8,274,0.32,0.85,
Licorice,#1A1110,6,0.38,0.1,
Liberty,#545AA7,236,0.5,0.65,
Light Apricot,#FDD5B1,28,0.3,0.99,
Light Blue,#ADD8E6,195,0.25,0.9,
Light Brilliant Red,#fe2e2e,0,0.82,1,
Light Brown,#B5651D,28,0.84,0.71,
Light Carmine Pink,#E66771,355,0.55,0.9,
Light Cobalt Blue,#88ACE0,215,0.39,0.88,
Light Coral,#F08080,0,0.47,0.94,
Light Cornflower Blue,#93CCEA,201,0.37,0.92,
Light Crimson,#F56991,343,0.57,0.96,
Light Cyan,#E0FFFF,180,0.12,1,
Light Deep Pink,#FF5CCD,318,0.64,1,
Light French Beige,#C8AD7F,38,0.37,0.78,
